Раздел,Источник,Номер,Продукции (всего),Примеры продукции,Стандарты (всего),Примеры стандартов,ТН ВЭД (всего),Примеры ТН ВЭД,Показатели (всего),Примеры показателей
ч1_1,ч1,1,2,"Стекло полое (в том числе посуда из стекла), Изделия керамические хозяйственные и декоративные",3,"титриметрический (объемный) метод, ГОСТ 10134.1, Метод А, Химические испытания, физико-химические испытания",6,"7010100000, 7013, 691200...",1,"Водостойкость стекла при температуре 98 °С: 
от 1/98 до 5/98 (см³/г)..."
ч1_2,ч1,2,3,"Стекло полое, Изделия керамические хозяйственные и декоративные, Изделия чулочно-носочные трикотажные или вязаные",3,"визуальный метод, Неразрушающий контроль, ГОСТ 30407, 7.2",7,"7010100000, 7013, 6115...",6,Внешний вид: соответствует/не соответствует...; Высота (глубина) возвышений (углублений): соответствует/не соответствует...; Количество включений: соответствует/не соответствует...
ч1_3,ч1,3,69,"Принадлежности канцелярские бумажные, Материалы нетканые и изделия из них (кроме одежды), Изделия текстильные готовые прочие...",3,"хроматография газовая (газожидкостная), МР 2915-82, Химические испытания, физико-химические испытания",177,"4901, 9608, 5603...",1,"Винилацетат: 
от 0,1 до 1,0 (мг/м³)
от 0,1 ..."
ч1_4,ч1,4,33,"Метлы и щетки, Кожа из шкур прочих животных, Белье нательное трикотажное или вязаное...",3,"Методические указания по санитарно-гигиенической оценке резиновых и латексных изделий медицинского назначения (утв. Минздравом СССР 19.12.1986, Миннефтехимпромом СССР 25.12.1986), 7.3.3, тонкослойная хроматография, Химические испытания, физико-химические испытания",118,"4901, 9608, 5603...",3,"Альтакс: 
от 0,05 до 0,5 (мг/дм³)...; Каптакс: 
от 0,05 до 0,5 (мг/дм³)...; Сульфенамид Ц: 
от 0,05 до 0,5 (мг/дм³)..."
ч1_5,ч1,5,42,"Принадлежности канцелярские бумажные, Метлы и щетки, Белье нательное трикотажное или вязаное...",3,"МУ 4395-87, 7.4, хроматография газовая (газожидкостная), Химические испытания, физико-химические испытания",166,"4901, 9608, 5603...",1,"Эпихлоргидрин: 
от 0,01 до 0,1 (мг/дм³)..."
ч1_6,ч1,6,40,"Принадлежности канцелярские бумажные, Метлы и щетки, Белье нательное трикотажное или вязаное...",3,"хроматография газовая (газожидкостная), МУК 4.1.3169-14, Химические испытания, физико-химические испытания",160,"4901, 9608, 5603...",5,"Дибутилфталат: 
от 0,004 до 1,2 (мг/дм³)...; Диметилтерефталат: 
от 0,005 до 1,2 (мг/дм³)...; Диметилфталат: 
от 0,010 до 1,2 (мг/дм³)..."
ч1_7,ч1,7,34,"Материалы нетканые и изделия из них (кроме одежды), Поезда игрушечные и их принадлежности, Кожа из шкур прочих животных...",3,"хроматография газовая (газожидкостная), МУК 4.1.3170-14, Химические испытания, физико-химические испытания",162,"4901, 9608, 5603...",10,"Спирт изобутиловый: 
от 0,02 до 0,2 (мг/м³)...; Ацетальдегид: 
от 0,005 до 0,12 (мг/м³)...; Ацетон: 
от 0,08 до 0,6 (мг/м³)..."
ч1_8,ч1,8,2,"Игры и игрушки, Изделия чулочно-носочные трикотажные или вязаные",3,"Измерение параметров физических факторов, измерение электростатического поля, СанПиН 2.4.7.14-34-2003",5,"9504, 6115, 950300...",1,"Уровень напряженности электростатического поля: 
от 0,3 до 180 (кВ/м)..."
ч1_9,ч1,9,20,"Стекло полое, Изделия керамические хозяйственные и декоративные, Изделия текстильные технического назначения прочие...",3,"Измерение параметров физических факторов, СанПиН 9-29.7-95, измерение электростатического поля",134,"430310, 9608, 5603...",1,"Уровень напряженности электростатического поля: 
от 0,3 до 180 (кВ/м)..."
ч1_10,ч1,10,1,Игры и игрушки,3,"ГОСТ EN 71-8, Функциональные испытания систем и элементов конструкции, функциональные испытания систем и элементов конструкции",4,"950300, 9504, 3407000000...",1,Прочность: соответствует/не соответствует...
